监测时间,水质类别,水温（℃）,pH(无量纲),溶氧量(mg/L),电导率（μS/cm）,浊度（NTU）,高锰酸盐指数（mg/L）,氨氮（mg/L）,总磷（mg/L）,总氮（mg/L）,站点情况,id
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,12.8,8.6,11.38,13527.5,10.9,7.17,0.159,0.089,3.19,正常,1136
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,14.3,8.67,11.59,13087.1,13,8.23,0.153,0.088,3.15,正常,1137
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,14.1,8.61,11.15,13035.2,12.8,8.23,0.153,0.088,3.15,正常,1138
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,13.5,8.63,11.7,13562.9,14.3,8.18,0.166,0.08,3.15,正常,1139
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,13.2,8.63,11.48,13613.2,11.8,8.08,0.151,0.082,3.14,正常,1140
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,13.1,8.62,11.57,13613.4,13.9,8.08,0.151,0.082,3.14,正常,1141
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,13.1,8.65,11.85,13430.2,13.8,7.56,0.125,0.091,3.02,正常,1142
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,13.4,8.68,12.3,13233.8,15.5,8.14,0.094,0.082,3.07,正常,1143
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,14.5,8.81,12.93,12376.9,18.4,8.44,0.131,0.078,3.15,正常,1144
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,14.2,8.74,12.05,12002.8,16,9.64,0.06,0.125,3.2,正常,1145
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,14.2,8.75,12.19,11882.6,17,8.43,0.09,0.11,3.15,正常,1146
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,14,8.8,12.83,11522.4,18.2,8.43,0.09,0.11,3.15,正常,1147
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,14,8.72,12.09,11441.8,18.4,8.63,0.087,0.131,3.28,正常,1148
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,14.2,8.75,12.42,11593.2,18.9,8.23,0.106,0.119,3.14,正常,1149
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,14.8,8.82,12.84,11402.4,21.1,8.88,0.117,0.116,3.17,正常,1150
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,14.7,8.8,12.09,11688.3,22.3,8.86,0.099,0.116,3.14,正常,1151
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,14.2,8.75,11.81,11777.9,22.3,8.98,0.083,0.126,3.13,正常,1152
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,13.8,8.78,11.71,11523,23.5,8.98,0.083,0.126,3.13,正常,1153
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,13.8,8.78,11.71,11523,23.5,9.07,0.112,0.13,3.11,正常,1154
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,13.8,8.79,12.13,11531.1,23.9,9.08,0.112,0.13,3.11,正常,1155
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅴ,17.2,8.81,11.95,11230,31.8,10.38,0.126,0.168,3.54,正常,1156
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅴ,16.1,8.81,12.46,11286,28.4,10.27,0.128,0.145,3.3,正常,1157
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,15.8,8.81,11.93,11100.4,27.2,23.53,0.164,0.133,3.17,正常,1158
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,15.4,8.77,11.82,11014.2,27.5,23.53,0.164,0.133,3.17,正常,1159
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,15.3,8.77,12.29,11079.4,27.2,9.15,0.104,0.147,3.15,正常,1160
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,16.2,8.79,11.91,11028.1,31,9.49,0.216,0.136,3.26,正常,1161
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,16.3,8.81,11.96,10932.2,32.5,9.75,0.152,0.13,3.19,正常,1162
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅴ,15.8,8.75,12.14,11047.7,31.4,10.67,0.157,0.141,3.22,正常,1163
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13.5,8.28,7.75,1700.8,20.5,5.94,0.1,0.076,1.28,正常,1164
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,14,8.45,9.54,1655.3,20.5,6.6,0.073,0.077,1.43,正常,1165
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,14.4,8.45,9.38,1669.2,21.1,6.6,0.073,0.077,1.43,正常,1166
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,14.1,8.44,9.26,1640.2,18.8,6.34,0.085,0.07,1.19,正常,1167
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13.7,8.39,8.7,1658.7,19.5,5.97,0.073,0.066,1.17,正常,1168
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13.6,8.46,9.3,1449.3,14.6,5.97,0.073,0.066,1.17,正常,1169
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13.5,8.41,8.81,1497.6,18.3,5.39,0.033,0.068,1.12,正常,1170
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13.7,8.54,10.37,1475.6,16.5,5.73,0.034,0.066,1.15,正常,1171
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,13.7,8.45,9.27,1575,20.3,6.55,0.025,0.074,1.23,正常,1172
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13.6,8.33,8.12,1648.4,19.6,5.89,0.046,0.066,1.08,正常,1173
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13.5,8.34,8.37,1612.9,15,5.42,0.083,0.066,1.11,正常,1174
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13.2,8.39,8.82,1570.3,17.5,5.42,0.083,0.066,1.11,正常,1175
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13.1,8.31,8.18,1648.2,22.8,5.49,0.068,0.07,1.13,正常,1176
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13.5,8.21,7,1815.7,24.7,5.69,0.101,0.075,1.16,正常,1177
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,14.1,8.34,8.16,1696.9,23,5.64,0.219,0.074,1.27,正常,1178
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,14.1,8.38,8.53,1669.7,21.6,5.84,0.161,0.071,1.21,正常,1179
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13.6,8.36,8.45,1692.3,19.7,5.72,0.14,0.068,1.13,正常,1180
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13.2,8.35,8.48,1666.5,18.4,5.72,0.14,0.068,1.13,正常,1181
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13.2,8.35,8.48,1666.5,18.4,5.22,0.112,0.076,1.1,正常,1182
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13,8.36,8.65,1672.7,18.6,5.22,0.112,0.076,1.1,正常,1183
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,16,8.6,10.86,1351.8,17.7,5.18,0.057,0.06,1.09,正常,1184
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,15.9,8.59,10.73,1380.8,23.4,5.13,0.032,0.059,1.04,正常,1185
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,15,8.62,10.51,1317.9,20.4,5.38,0.034,0.063,0.96,正常,1186
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,14.6,8.59,10.37,1327.4,21.2,5.38,0.034,0.063,0.96,正常,1187
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,14.4,8.58,10.35,1350.3,22.5,5.38,0.025,0.071,0.99,正常,1188
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,15.5,8.63,10.96,1325.4,23.5,5.15,0.025,0.063,0.99,正常,1189
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,15.6,8.67,10.98,1294.7,24.6,5.57,0.025,0.065,1.04,正常,1190
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,15.2,8.65,10.68,1328.8,24,5.84,0.025,0.066,1.03,正常,1191
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.6,7.75,13.06,864.9,19,2.81,0.087,0.053,8.82,正常,1192
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,18.2,7.77,13.59,865.3,17.8,2.43,0.079,0.051,8.66,正常,1193
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,18.4,7.86,15.05,886.8,31.1,2.43,0.079,0.051,8.66,正常,1194
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,18.4,7.96,16.9,900.2,57.3,2.35,0.087,0.052,8.35,正常,1195
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,18.3,8.02,17.32,915,67.1,2.61,0.08,0.052,8.35,正常,1196
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.8,7.81,13.96,913,13.2,2.61,0.08,0.052,8.35,正常,1197
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.3,7.62,10.62,904.3,7.8,2.65,0.083,0.059,8.82,正常,1198
Tue Apr 16 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.5,7.73,12.74,904.3,10.9,2.45,0.089,0.05,8.63,正常,1199
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,22.8,7.7,7.81,428.5,6.6,2.06,0.041,0.038,3.03,正常,1200
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,23.1,8.71,9.37,1056,6.2,3.22,0.025,0.026,2.03,正常,1201
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,24,7.15,8.61,831.1,13.5,5.47,0.073,0.065,4.16,正常,1202
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,23.5,7.89,8.64,843.4,2.9,4.34,0.049,0.073,6.3,正常,1203
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,22.3,7.66,9.3,1222.7,12.7,3.81,0.038,0.065,9.53,正常,1204
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,23.7,8.29,9.74,1071.2,76.5,4.09,0.046,0.045,1.81,正常,1205
,,,,,,,,,,,不具备运行条件,1206
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,23.3,7.64,9.42,437.1,21.1,1.93,0.062,0.037,3.67,正常,1207
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,24.3,7.86,8.57,967.3,16.3,5.64,0.025,0.068,3.16,正常,1208
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,23,7.58,7.31,1234.9,57,3.24,0.173,0.042,6.46,正常,1209
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,25.5,9.71,18.79,1086,12.9,6.62,0.05,0.403,3.06,正常,1210
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,25.9,8.26,9.98,1179.8,16.6,4.82,0.147,0.179,4.85,正常,1211
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,21.9,8.55,9.96,428.7,5,2.64,0.025,0.005,0.98,正常,1212
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,22.9,8.07,8.84,695.6,33,5.96,0.5,0.16,3.91,正常,1213
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,19.1,8.54,10.99,436.2,3.6,2.46,0.025,0.005,1.24,正常,1214
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,19.3,8.35,10.11,465.7,6.5,1.59,0.025,0.005,2.81,正常,1215
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,22.7,8.15,14.69,543.6,3.3,0.82,0.025,0.005,3.47,正常,1216
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,22.2,8.5,14.39,586.8,8.4,3.29,0.025,0.04,1.86,正常,1217
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16.1,8.3,10.78,580.7,49.2,0.89,0.025,0.03,10.41,正常,1218
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,22.6,8.01,7.13,651,12.8,3.77,0.062,0.06,1,正常,1219
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,22.9,8.26,11.14,734.3,9.1,3.44,0.033,0.037,1.14,正常,1220
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,24,8.54,15.96,1052.4,8.6,3.43,0.045,0.058,1.11,正常,1221
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,22.4,8.41,11.57,766.1,5.7,3.3,0.082,0.045,1.13,正常,1222
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,22.6,8.24,8.6,286.1,1.2,1.61,0.025,0.005,1.1,正常,1223
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,22.3,8.81,16.74,2576,11.5,4.29,0.043,0.077,1.5,正常,1224
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,23.2,8.24,8.55,271.7,5.4,2,0.025,0.005,0.9,正常,1225
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,23.2,8.41,13.2,956.4,13.3,7,0.124,0.091,4.46,正常,1226
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,23,8.88,9.7,948.9,12.9,5.53,0.121,0.006,2.18,正常,1227
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,20,8.42,7.79,3586.9,22.2,5.92,0.149,0.081,4.46,正常,1228
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,23.3,9.57,17.75,24216.8,22.3,13.63,0.197,0.147,1.94,正常,1229
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,21.6,8.5,9.49,7263.4,323.2,6.09,0.025,0.09,1.54,正常,1230
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,23.7,8.32,15.81,36093.4,84.6,9.76,0.025,0.148,2.14,正常,1231
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,23.6,8.37,7.41,4075.3,38.2,7.05,0.025,0.103,1.32,正常,1232
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,22.8,7.94,6.42,2810.9,31.1,5.7,0.541,0.125,3.68,正常,1233
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅴ,22.9,8.99,28.32,16443.6,59,10.64,0.343,0.186,3.26,正常,1234
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,19.6,8.3,9.42,1380.2,32.1,4.54,0.025,0.085,4.06,正常,1235
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,21.9,8.81,11.12,522,3.8,4.54,0.025,0.018,1.4,正常,1236
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,20.8,8.37,8.57,519,4.6,2.57,0.025,0.013,1.37,正常,1237
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.2,8.2,9.86,631.1,5.2,2.36,0.025,0.016,3.18,正常,1238
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,24.5,8.46,10.64,805.8,8.5,2.9,0.025,0.037,9.12,正常,1239
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.6,8.72,10.21,639.8,2.3,2.02,0.025,0.017,2.82,正常,1240
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),,,,,,,,,,,维护,1241
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,23.1,8.18,9.55,648.7,99.7,2.69,0.037,0.062,3.21,正常,1242
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,23.6,7.92,5.3,1083.1,58.4,0.87,0.028,0.04,4.09,正常,1243
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,21.2,8.04,6.49,966.5,23.7,1.82,0.17,0.036,7.04,正常,1244
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,22.7,8.47,10.75,366.1,11,1.69,0.025,0.01,1.79,正常,1245
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅴ,20.9,8.04,2.85,1256.6,14.4,6.07,0.098,0.164,5.55,正常,1246
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.8,8.75,12.32,596.3,0.5,2.07,0.025,0.012,3.45,正常,1247
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,25.2,8.98,15.43,679.4,9.6,3.11,0.031,0.058,1.02,正常,1248
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,22,9.39,3.92,1216.4,5,8.03,0.049,0.461,0.94,正常,1249
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,22.1,8.1,8.07,566.4,7.1,2.26,0.063,0.035,2.64,正常,1250
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,23,7.87,8.09,22370.9,1.9,2.72,0.034,0.03,1.38,正常,1251
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,22.9,9.21,13.81,877.4,14.9,3.59,0.032,0.03,2.65,正常,1252
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,21.7,8.47,10.45,463.6,1.2,1.41,0.025,0.013,2.07,正常,1253
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,21.2,8.92,15.57,695.8,12.5,3.92,0.025,0.02,0.92,正常,1254
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,23.8,8.22,9.1,754.4,17.1,3.95,0.14,0.074,1.54,正常,1255
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅴ,27.4,8.58,16.63,22903,12.2,12.58,0.563,0.074,2.27,正常,1256
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,21.9,9.3,11.23,3579.2,90.4,8.34,0.025,0.127,2.33,正常,1257
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,24.3,6.73,10.43,42895.9,9.4,3.93,0.883,0.005,1.54,正常,1258
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),,,,,,,,,,,维护,1259
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,26.2,8.61,9.9,543.2,2.3,1.29,0.029,0.005,4.31,正常,1260
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,24.8,8.97,15.02,751.2,29.3,2.76,0.025,0.056,2.35,正常,1261
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,25.1,7.76,6.41,856.7,55.9,5.55,0.315,0.109,3.87,正常,1262
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,25.6,8.2,7.69,774.2,20.2,3.62,0.096,0.097,5.4,正常,1263
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,26.2,8.37,14.29,619.4,4,2.89,0.025,0.015,4.8,正常,1264
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,22.5,8.06,9.77,594.5,12.4,0.92,0.025,0.024,5.87,正常,1265
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,20.6,8.28,10.03,525.1,8.1,1.05,0.025,0.015,3.45,正常,1266
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,18.3,8.66,8.9,1208.9,56,4.09,0.025,0.066,4.35,正常,1267
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,19.2,8.34,7.76,1274,44.7,4.8,0.164,0.096,2.05,正常,1268
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,19.9,8.77,12.86,807.2,12.6,1.95,0.025,0.04,4.22,正常,1269
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,19.8,8.73,13.12,683.1,2.4,1.64,0.025,0.015,2.19,正常,1270
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,22,8.56,13.32,407,7,1.57,0.025,0.005,1.4,正常,1271
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,17.4,8.39,8.27,374.4,131.1,6.8,0.025,0.033,4.12,正常,1272
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,22.2,8.28,18.18,898.4,2.5,0.88,0.025,0.005,1.15,正常,1273
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,21.6,8.21,8.63,546.9,50.9,4.86,0.025,0.12,3.89,正常,1274
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,19.7,8.33,10.99,1340.8,3.2,1.49,0.025,0.017,1.24,正常,1275
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅴ,16.9,8.32,8.17,315.4,217.7,10.96,0.025,0.177,1.42,正常,1276
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,20.8,8.09,7.59,501,104.6,6.47,0.091,0.155,5.08,正常,1277
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,21.2,8.6,18.14,758.7,11.1,1.47,0.025,0.027,4.97,正常,1278
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,19.2,8.31,16.9,657.1,2.1,1.62,0.025,0.005,4.25,正常,1279
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,15.8,8.04,9.24,661.4,35.4,6.17,0.198,0.12,4.21,正常,1280
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,22.6,8.33,11.73,727.3,18.4,1.73,0.025,0.045,3.38,正常,1281
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,19,9.04,25.62,464.6,5.3,1.49,0.025,0.021,3.93,正常,1282
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,22.6,9.42,10.3,2857.9,24,6.95,0.025,0.094,0.85,正常,1283
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,22.5,8.1,7.8,,56.6,6.99,0.025,0.153,1,维护,1284
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,24.3,7.66,8.63,40768.4,1085.4,6.64,0.461,0.06,2.95,正常,1285
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,22.6,8.39,9.36,2113.5,45.2,5.48,0.034,0.101,0.86,正常,1286
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,22.2,8.66,11.1,2830.3,33.8,4.95,0.025,0.063,0.7,正常,1287
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,24.7,9.35,12.27,1261.6,16.7,5.74,0.049,0.06,1.02,正常,1288
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,23.2,7.9,22.7,1013,10.3,5.9,0.052,0.106,5.39,正常,1289
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,23.3,8.29,25.75,947.3,11.3,5.12,0.038,0.098,5.67,正常,1290
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,23.5,7.95,3.65,1747.1,46.9,6.31,0.404,0.06,2.49,正常,1291
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),,24.5,9.02,,677.4,38.4,5.25,0.041,0.068,2.9,维护,1292
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,22.9,7.85,4.22,998.2,1.4,6.33,0.156,0.118,1.14,正常,1293
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,24.1,8.86,11.23,877.5,15,4.72,0.041,0.054,1.07,正常,1294
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,23.8,8.7,7.6,1460.9,39.8,5.98,0.032,0.034,0.56,正常,1295
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,24,8.91,8.32,347.5,24.1,1.54,0.025,0.01,1.99,正常,1296
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,25.7,8.03,8.33,939.2,12.3,3.42,0.05,0.026,5.25,正常,1297
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,24.6,7.95,9.95,1131.2,11.3,4.91,0.025,0.041,6.84,正常,1298
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,26.7,7.93,7.01,1091.8,9.6,5.04,0.025,0.041,2.74,正常,1299
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,23.9,8.45,12.16,663,4.1,4.27,0.025,0.028,2.21,正常,1300
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,24,8.39,11.37,868.9,6.1,4.01,0.025,0.018,0.39,正常,1301
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,23.6,8.41,10.36,916.3,4,4.51,0.025,0.019,0.42,正常,1302
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,24.3,7.98,9.44,678.7,3.1,5.25,0.025,0.043,0.81,正常,1303
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,23.4,8.44,14.89,1557.2,10.7,6.19,0.103,0.151,4.74,正常,1304
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,18.7,8.43,11.2,748.3,11.3,1.63,0.025,0.005,2.42,正常,1305
Sat May 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,20.3,8.55,8.05,807.3,22.7,1.33,0.025,0.005,2.07,正常,1306
